ID1_prev,ID2,SOI2,mprr
0.6926984,0.58230793,-135.15111,8.1959915
0.697,0.94,-76.0,8.923912
0.694,0.738,-44.8,4.044113
0.80429167,0.076929346,-105.907486,6.9423294
0.76179624,0.803168,-44.21157,7.724209
0.717,0.52,-25.1,9.112663
0.7850923,0.497059,-93.175,8.937454
0.7858693,0.45485353,-121.655,8.222961
0.7803982,0.21472174,-80.43399,5.8639145
0.69710696,0.9191408,-75.84918,10.649357
0.72711223,0.4099221,-26.550163,6.551342
0.74397343,0.6094271,-119.60612,8.910503
0.7621197,0.67313355,-89.33554,8.816166
0.6295214,0.82070374,-87.62103,4.650688
0.697,0.92,-76.0,10.002251
0.7705363,0.6482711,-43.722115,8.8700485
0.74578357,0.5205592,-55.075073,3.6800575
0.61845106,0.29621473,-88.83965,1.4424419
0.809022,0.35575274,-41.33951,9.220524
0.84007674,0.4248525,-65.06602,8.03421
0.73519117,0.43893027,-43.660854,4.273281
0.81501836,0.6108128,-92.49637,9.813728
0.6496743,0.990141,-54.28985,7.414093
0.75856847,0.29942384,-94.28247,6.2817574
0.7937429,0.36917275,-121.31223,8.101692
0.7823783,0.4747632,-122.33285,10.218067
0.7345566,0.21242304,-73.498215,4.273205
0.73314357,0.50264,-25.042103,9.409275
0.718,0.5,-21.2,9.854107
0.7852872,0.867851,-44.95956,9.368725
0.65277267,0.5806157,-29.13665,4.1249657
0.7336103,0.5128227,-25.725378,8.896999
0.7494085,0.63722193,-86.94504,8.303871
0.72523683,0.41608793,-24.573215,6.335659
0.718556,0.68410724,-91.620125,6.4840317
0.7799389,0.6119958,-107.961624,9.773216
0.7758252,0.28658965,-20.442684,6.133499
0.72120816,0.67111295,-114.484055,9.571075
0.81041324,0.53628635,-43.862907,11.80872
0.80168337,0.43189883,-20.878838,9.665432
0.697,0.94,-76.0,8.8700485
0.753,0.55,-126.5,9.827137
0.8107131,0.15385869,-92.01497,7.724209
0.73736864,0.7633731,-84.763985,9.072304
0.81,0.352,-40.7,8.829594
0.70900685,0.36796156,-106.23085,4.5293236
0.7752355,0.38177708,-18.171478,8.4386635
0.81,0.312,-128.8,11.067314
0.78908426,0.76838064,-43.859425,8.721752
0.763961,0.68737966,-95.33649,9.813633
0.67938983,0.76379406,-99.04441,7.3871613
0.74529815,0.6473354,-110.72278,8.870029
0.7791296,0.52326727,-121.6914,9.261036
0.7523059,0.61131114,-79.63112,5.59433
0.8179129,0.24177793,-76.13781,9.261036
0.78800446,0.45517135,-121.45177,8.667889
0.7051107,0.8780211,-70.25431,10.002365
0.82857895,0.35401127,-31.045395,9.719315
0.7246078,0.61620814,-116.57985,9.4226265
0.80196536,0.42328626,-18.923042,8.209534
0.74159795,0.60422647,-102.1174,6.6322327
0.86494577,0.5267987,-47.09005,8.856525
0.79905546,0.5133244,-107.02988,9.800091
0.8379323,0.4017272,-70.09372,8.290386
0.865,0.556,-30.0,10.285511
0.8034158,0.24344867,-86.62894,8.735161
0.7269362,0.70567894,-105.12297,9.584427
0.7035092,0.897593,-78.71479,8.452072
0.697,0.94,-76.0,9.139614
0.82039136,0.061675295,-56.16227,9.045277
0.7258834,0.8892754,-68.51691,9.3014145
0.82539976,0.19882153,-108.3285,9.328384
0.8015719,0.21359465,-101.657745,8.667717
0.7144962,0.54833204,-66.87985,3.5453606
0.66957074,0.62136614,-136.30258,8.546505
0.6939744,0.63813734,-132.66748,7.7241135
0.7960395,0.23126823,-74.9244,7.4412155
0.70163906,0.716679,-88.4964,5.4864693
0.7870921,0.43424857,-121.5731,9.449673
0.7625294,0.5228529,-78.53559,4.906807
0.70374995,0.79061925,-54.884148,5.0416756
0.74480844,0.46340337,-105.30147,5.6212044
0.6909565,0.48019975,-16.015045,10.04282
0.6620079,0.78686637,-123.53314,9.732704
0.754988,0.83251595,-43.004593,9.422703
0.69316065,0.5973175,-132.16711,8.344345
0.7105992,0.87006503,-66.43814,8.236542
0.70739466,0.49213815,-19.14127,8.600311
0.63931715,0.66032314,-111.682236,3.5182571
0.774,0.358,-96.2,5.5000114
0.8012431,0.04003466,-112.57022,8.047676
0.697,0.92,-76.0,10.002365
0.7439319,0.3940444,-122.49956,6.8345833
0.71303964,0.6908835,-111.110916,8.923969
0.8222214,0.45926702,-62.66146,8.869972
0.6532179,0.8227776,-103.348274,9.651871
0.7437933,0.8626794,-42.49204,8.640842
0.7324613,0.65046585,-119.50904,10.177689
0.738383,0.64828426,-114.245346,10.0966835
0.65902954,0.3048571,-127.21495,2.7095604
0.8095456,0.13972881,-94.56666,7.7646637
0.8152508,0.40583318,-50.85768,9.314823
0.72787285,0.56262374,-24.84119,10.379715
0.7914834,0.39160717,-121.34863,9.112644
0.77549493,0.2943429,-37.03658,7.2657967
0.697,0.92,-76.0,11.97052
0.81,0.312,-128.8,9.179993
0.7823431,0.7813217,-44.906,8.869934
0.72925425,0.55349994,-49.95041,3.3969688
0.70029306,0.8850833,-73.64169,8.479118
0.77538884,0.6329145,-49.245598,5.6077766
0.73311657,0.75240254,-100.33263,9.786797
0.8358419,0.44436994,-66.29462,9.678936
0.627,0.85,-133.0,7.2254944
0.831,0.168,-115.3,9.961987
0.7473231,0.45306247,-55.698696,6.416588
0.67976177,0.27253327,-92.30786,2.561264
0.697,0.962,-76.0,12.603989
0.8157184,0.47110304,-55.010612,8.50605
0.819,0.4,-127.9,9.099159
0.83034635,0.6337148,-57.108982,8.977814
0.738009,0.8770251,-41.79761,9.92157
0.7717864,0.6070643,-106.871796,7.9398155
0.72757417,0.49227402,-23.265263,9.328289
0.665,0.79,-120.0,9.624958
0.6,0.0,-105.93178,2.938671
0.76394373,0.6812565,-97.65713,9.800224
0.8085191,0.6947204,-46.74127,8.964367
0.7845507,0.42006183,-120.53071,7.7646637
0.6820959,0.47360486,-14.2880945,8.613892
0.70326626,0.38665658,-28.846714,3.7610435
0.84671074,0.41587394,-69.21085,8.7890625
0.79087883,0.15014878,-95.27502,5.297737
0.6147317,0.6467173,-113.00607,1.914177
0.66578627,0.7883769,-123.65755,9.422779
0.7613437,0.60090417,-105.12814,7.1714973
0.7856861,0.56429875,-26.540447,9.962025
0.7859241,0.4492005,-121.5367,10.177536
0.67812026,0.5335726,-102.479675,4.731655
0.8,0.4,-112.6,9.004822
0.7390707,0.50319916,-86.19796,5.2978134
0.7590935,0.58601207,-116.28294,10.528011
0.8199348,0.5313723,-87.072716,7.4141693
0.76053655,0.538571,-110.7453,8.169003
0.8316618,0.4456107,-52.659645,9.449749
0.7293322,0.71114284,-113.76756,10.595474
0.6494034,0.92166656,-120.4111,9.67886
0.6639223,0.7803856,-121.91599,8.856525
0.7118244,0.21119401,-59.38212,3.5318375
0.6597143,0.67312884,-124.1812,6.9423676
0.7639642,0.6885111,-95.57329,9.409237
0.72802085,0.20045143,-35.260902,2.3994827
0.6122871,0.46968344,-91.783615,1.4154053
0.80109704,0.42987764,-24.423717,10.406742
0.66957074,0.6189302,-136.24352,9.166565
0.789986,0.3075831,-72.20291,6.3222313
0.76093036,0.29729676,-23.519318,6.834507
